"eventType","A","B","C","D","E"
"EXPECTED","1.0326935899160459","1.7983469663029248","0.36210854309796936","1.6274297662013362","4.8916736046531675"
"EXPECTED","1.0651496014802635","2.0833863290584347","1.5095108332013893","1.9181202640284103","5.20118618157899"
"EXPECTED","2.23871415128279","2.155066900030925","1.0112144215250285","0.033987002144759026","4.141551021993257"
"EXPECTED","-0.5672713335377693","1.1782164856581037","1.212051499165429","1.5394838681347225","5.17500557427703"
"EXPECTED","1.6277936376256614","2.2457316889519485","0.06057416806925431","2.6163387023929263","4.906897960596297"
"EXPECTED","0.8797648248825903","2.962920180946497","0.7593405420222523","1.5563919731084628","5.2490992455265895"
"ANOMALOUS","-1.06043161185909","2.763349203785811","-1.0083074201970978","2.7013600493719974","-10.135550733526093"
"EXPECTED","0.043746961568463694","2.8940845170697798","0.48991361215300244","2.3343387111606875","4.87997340610024"
"EXPECTED","0.07219772821735437","2.1849707396327913","0.2971535992542197","1.7364676671876338","5.125862237983387"
"EXPECTED","0.6693654951355672","3.4198928831530977","0.5717734257251699","2.2774098240833816","5.295887088975302"
"EXPECTED","1.9769034125974607","2.368625196860261","0.8864591928197249","2.466274566823783","5.4250502797717575"
"EXPECTED","0.7074183352464656","1.2721152820673927","0.5065028687632409","1.8426693555707854","4.624114485958964"
"EXPECTED","1.2050245933963861","2.508901048375048","0.8507070959579979","4.996532647108166","4.975046566692374"
"EXPECTED","0.16811701831211412","2.4532803429314796","1.6167728341879326","2.285521066772701","5.196825126064541"
"EXPECTED","3.455150532541524","2.377510169824803","1.7118744821170924","0.7538440087103258","5.110992189830754"
"ANOMALOUS","-1.8622331818988809","2.1711860453416127","-2.343462043132024","1.8982264288420436","-10.77207838469852"
"ANOMALOUS","-2.325962686575302","2.333040831993533","-1.910405531601203","2.438199175323579","-10.068950061872837"
"ANOMALOUS","-1.9204047002681495","1.610494563322963","-2.589970586641146","2.9785808390852897","-9.944159770164248"
"EXPECTED","1.5428062027982705","1.1966912165255432","-0.7812713616608189","1.7017914555475926","5.318178046689624"
"EXPECTED","1.4973648678354705","1.2198998502102292","1.512364707032672","2.3658832843900974","5.131270671051271"
"EXPECTED","-0.24606187654568124","3.125038328420935","0.39162256761839975","3.0818637761281646","5.335135967605768"
"ANOMALOUS","-2.181294833501946","2.624631075773315","-2.2262757584644666","1.7497925392944635","-10.08391688421207"
"ANOMALOUS","-2.027611545301953","2.032928463526194","-1.5190620014271103","1.7043777203005652","-10.74853043365756"
"EXPECTED","0.7385899616154592","1.6047918574318676","0.773980399594433","2.9034152849502273","5.229566152069145"
"ANOMALOUS","-0.8870885740462571","2.1354410198072302","-2.5114275939426727","2.10675772042877","-9.943789005518518"
"EXPECTED","0.2894488696415878","1.6619515872371153","0.8447778685477167","3.615779304130421","4.703073247649136"
"EXPECTED","2.1868210423137757","1.5345829529728863","1.5511696729570987","1.0264181726996355","5.323495308426467"
"EXPECTED","1.274432312728931","1.1073925701700755","0.7182892149781457","1.359589713680196","4.778138140785704"
"EXPECTED","1.0480429337545927","1.5414853078030315","0.3738458235143357","0.33246085114877144","5.022183278006913"
"EXPECTED","0.10863287572535374","2.109678173397129","1.1627534486041875","2.195382219099716","5.113762462754483"
"ANOMALOUS","-1.9925468012186622","2.0501484103548924","-1.7900228729730308","1.7765670132686493","-10.519840968349286"
"EXPECTED","0.9550214337029881","1.6440469895118164","0.5809594988283184","3.4436210400067244","4.940794866853838"
