"eventType","A","B","C","D","E"
"EXPECTED","2.5615810401889547","1.569949954385736","0.4543860585276456","1.3754598635933768","4.646367798646718"
"EXPECTED","-0.6583217791337177","0.6691088051801077","1.0296277472128406","1.591588671336298","5.090981733392684"
"EXPECTED","1.4452322425599013","1.3241389328830007","0.8324267319393355","1.0087494545807865","5.193326144747503"
"EXPECTED","1.9571850297129592","1.8659072597882735","1.0044317942159655","2.4264999532849654","4.802115280534945"
"EXPECTED","-0.1608687943540259","4.001630019653556","1.1777341948387334","0.6395129557909105","5.14389286919917"
"EXPECTED","-0.16296247292687416","1.0772724061998709","1.081870309023819","1.5022088938149951","4.578553775176561"
"EXPECTED","0.6186010765712102","0.9415818700853831","1.5162203859209158","3.734237561222189","4.737860442427149"
"EXPECTED","1.3324823173330524","0.4272614146516236","0.674843851521068","0.06491127921715911","4.791153433004604"
"EXPECTED","1.000742408999349","2.063339852473673","1.117962833854215","2.7410106047594964","5.8199303984280935"
"EXPECTED","-1.8937289631932432","1.5350231738747162","0.11400589512897163","1.5155948870670173","4.827390128968197"
"EXPECTED","2.829352191294599","3.4657260256059437","1.206158347499919","3.3578205405014976","5.205837407991115"
"EXPECTED","0.03391576577617783","1.4879861398588186","1.4105388559417849","2.4206499540082445","5.147346096182139"
"EXPECTED","-0.04388011017175497","2.301254637640989","0.8754904809538137","2.3243461055041554","5.302706530860835"
"EXPECTED","2.0327298075774216","2.0044384787452665","1.1610420820268716","1.2184270581869319","5.150091007631994"
"EXPECTED","1.1081785845840963","1.9111465398008023","2.186221738621232","1.6320647565480875","4.7414586258414175"
"EXPECTED","1.2392908393940023","1.7242261474779974","1.0377866883694313","2.9516722405507334","4.632048794385188"
"EXPECTED","1.3201465815594253","2.761185961150526","0.15374827495207755","3.142013788928328","4.881289270249584"
"EXPECTED","1.6797051305241064","3.1037593235986582","0.754697715252005","1.228784701935481","4.5508808385685"
"EXPECTED","1.3320680589211737","2.39513083288175","0.705989519933865","1.945489094786026","4.791295975003723"
"EXPECTED","1.130039104349107","2.555108825855749","1.9450991959293127","2.345354628314052","4.932021197969544"
"EXPECTED","-0.01147348398552639","2.588240798317485","0.18969343752258472","3.0719104737233582","4.749634263576824"
"EXPECTED","-1.1148519070925262","1.8965666552802498","0.34722081091975265","2.9683680371149967","5.374815307178198"
"EXPECTED","1.1144882780072662","2.1427383963130078","1.550336616209588","3.763313453107429","4.886775328218105"
"EXPECTED","1.2524232344095885","1.7453074942180036","1.3542002278085796","2.1922464045745267","5.199951891525036"
"EXPECTED","0.26044982255098403","2.439038229014084","0.7315157881742627","3.2679499153454934","5.10442824609179"
"EXPECTED","0.39507183825851444","1.1248148076834885","1.563854914551565","0.5943237051115764","4.399054474706266"
"EXPECTED","2.339117014041828","1.476776276141399","1.5586146942514096","1.2488511419196073","5.561387829976517"
"EXPECTED","-1.9763728443646817","1.6223348851040371","1.9208234686258834","2.727786582545896","5.29199604537334"
"EXPECTED","0.28782671677598826","2.668644715595704","0.2239186367842343","1.6738608609231909","4.842667789997202"
"EXPECTED","0.6427408180959319","3.3258717922651755","1.4338580452488763","2.3579907169829073","4.494911297688818"
"EXPECTED","1.3904479763133843","2.146985201476789","1.386564999323946","1.2806478546624638","4.59657920093978"
"EXPECTED","0.782829821553737","2.8227721382139506","1.1798430878725237","2.9835020527540594","4.556677857578934"
"EXPECTED","0.2438842434217896","1.3800936202563283","0.27080233414663124","1.047250468313523","5.117233069918079"
"EXPECTED","1.3187673206667474","1.5098730065476322","0.2688190681255378","1.866793704979441","5.0152941387983745"
"EXPECTED","0.30369928308674377","2.126249325627282","1.4814555181326008","0.9720114499022598","4.778703850898044"
"EXPECTED","1.3482973895968549","1.526824088692445","0.3975596889526364","0.831041966193965","5.105237843357392"
"EXPECTED","2.3800392938555173","2.0470114825724592","0.9227717124401484","1.5429195655541095","5.297191215768307"
"EXPECTED","2.60653967848083","2.8280581823399924","0.08932147897850307","2.339176983370863","5.0448349234746885"
"EXPECTED","-0.48867915791145866","1.7882637746431884","1.5547615125992271","0.7145880945032601","5.111215795010588"
"EXPECTED","0.6163940322030537","1.6483116514698848","0.03778394599799384","4.7179171114132625","5.384995425108091"
"EXPECTED","-0.07830945262141031","2.8096604984769007","0.9377257868465229","3.32514836506068","5.0740564459795054"
"EXPECTED","0.925108474145625","2.0738328858497974","0.9290413602845331","2.729461544198517","5.179265306117696"
"EXPECTED","0.739559423516086","1.39864537039553","1.3284455255872132","1.2809203568307193","5.418932530607096"
"EXPECTED","1.7314094467657157","1.6686784669321941","1.2741891762446038","0.6875075471557344","5.238834159027167"
"EXPECTED","1.6356711044206462","2.6265700817888176","0.9476736754966366","0.9692259575333244","5.0233716390279515"
"EXPECTED","2.696485939009472","1.5315806499522542","1.0447289042547483","1.6992341089284824","5.275405998921485"
"EXPECTED","-0.21138219482153775","2.4491931412616963","0.827226620901735","2.643470082405976","5.127593930380177"
"EXPECTED","2.8363013935606403","1.244566221897579","0.7427009742568339","2.9296171561555475","5.206027431209256"
"EXPECTED","0.8438895482488407","2.9874385208273604","0.5784372932443667","1.9588552192275308","4.112048293887963"
"EXPECTED","-0.13442657372773104","2.801028779048276","0.71535285237348","1.8072621782921667","4.668422699010334"
"EXPECTED","3.063062370708495","2.152286200487354","1.053932752626689","2.8264028982145932","4.869698019296571"
